Agenda,Day 1. Synthesis & Unix,Day 2. Communication and Version Control,Day 3. Advanced Unix and Data tools,Day 4. Open Data and R,Day 5. People and Data Wrangling
8:15-8:30,"Welcome (Jones, Budden)","Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion","Feedback, questions, and discussion"
8:30-9:00,"Participant intros; brief bio, project interests, goals for course (all)","Activity: Version control, Git, Github, Git in RStudio (Brun)","Advanced unix tools (awk, sed, iconv, etc.) (Jones)",Ecological Metadata in R (Mecum),"Social aspects of collaboration, high-performing groups, data policies (Budden and Jones)"
9:00-9:30,"Course overview, discussion of expectations (Jones, Budden)","Activity: Version control, Git, Github, Git in RStudio (Brun)","Advanced unix tools (awk, sed, iconv, etc.) (Jones)",Open data in R and ROpenSci (Mecum & Jones),Facilitating group discussions (Budden)
9:30-9:45,Break,Break,Break,Break,Break
9:45-11:00,"Intro to servers, networks, and the unix command line (Jones)","Activity: Version control, Git, Github, Git in RStudio (Brun)",Bash shell scripts (Jones),"Data liberation (scraping, text mining) (Brun)",Wrangling heterogeneous data formats  (Lortie)
11:00-12:00,Thinking preferences activity (Budden),"Activity: Version control, Git, Github, Git in RStudio (Brun)",R Review/ Assessment (Mecum),"Data liberation (scraping, text mining) (Brun)",Wrangling heterogeneous data formats (Lortie)
Noon-1:00,Lunch,Lunch,Lunch,Lunch,Lunch
1:00-1:30,R Markdown & Rstudio setup (Mecum),Communications: The message box (Budden),Data Management & Scientific data repositories (Schildhauer),Regular expressions (Mecum),"Data  munging, QA/QC, cleaning (Mecum)"
1:30-2:00,R Markdown & Rstudio setup (Mecum),Group work on message box (Budden), Publishing Data in R (Jones), Message box 2: Group exchange and feedback (Budden),"Data  munging, QA/QC, cleaning (Mecum)"
2:00-2:15,Break,Break,Break,Break,Break
2:15-5:00,Pre-Assessment (Budden) and Synthesis Groups (Lortie),Synthesis Groups (Lortie),Synthesis Groups,Synthesis Groups,Synthesis Groups
5:00-5:15,Peanut Gallery,Peanut Gallery,Peanut Gallery,Peanut Gallery,Peanut Gallery
